jarak,ketinggian
0.0,-0.0
0.4237979473856036,-2.707704561960476
0.8475958947712072,49.404810379762324
1.2713938421568107,246.69098776657464
1.6951917895424145,679.5042705398831
2.118989736928018,1438.1981016410941
2.5427876843136215,2613.125924011612
2.966585631699225,4294.641180592847
3.390383579084829,6573.097314326203
3.8141815264704326,9538.847768153086
4.237979473856036,13282.245985014908
4.66177742124164,17893.64540785306
5.085575368627243,23463.399479608957
5.509373316012847,30081.861643224027
5.93317126339845,37839.38534163964
6.3569692107840545,46826.324017797226
6.780767158169658,57133.03111463817
7.204565105555261,68849.8600751039
7.628363052940865,82067.16434213583
8.05216100032647,96875.29735867537
8.475958947712073,113364.61256766388
8.899756895097676,131625.46341204277
9.32355484248328,151748.20333475346
9.747352789868883,173823.18577873736
10.171150737254486,197940.7641869359
10.59494868464009,224191.29200229057
11.018746632025694,252665.12266774257
11.442544579411297,283452.6096262334
11.8663425267969,316644.1063207045
12.290140474182504,352329.96619409724
12.713938421568109,390600.5426893532
13.137736368953712,431546.1892494135
13.561534316339316,475257.25931721955
13.985332263724919,521824.10633571306
14.409130211110522,571337.0837478351
14.832928158496127,623886.5449965275
15.25672610588173,679562.8435247312
15.680524053267334,738456.3327753878
16.10432200065294,800657.366191439
16.52811994803854,866256.2972158254
16.951917895424145,935343.4792914895
17.375715842809747,1008009.2658613713
17.799513790195352,1084344.0103684138
18.223311737580957,1164438.0662555576
18.64710968496656,1248381.7869657436
19.070907632352164,1336265.5259419144
19.494705579737765,1428179.63662701
19.91850352712337,1524214.4724639733
20.34230147450897,1624460.3868957441
20.766099421894577,1729007.733365266
21.18989736928018,1837946.8653154788
21.613695316665783,1951368.1361893227
22.03749326405139,2069361.8994297422
22.46129121143699,2192018.508479676
22.885089158822595,2319428.3167820675
23.3088871062082,2451681.677779857
23.7326850535938,2588868.9449159857
24.156483000979406,2731080.471633396
24.580280948365008,2878406.6113750283
25.004078895750613,3030937.7175838253
25.427876843136218,3188764.1437027273
25.85167479052182,3351976.243174675
26.275472737907425,3520664.369442612
26.699270685293026,3694918.875949477
27.12306863267863,3874830.1161382133
27.546866580064236,4060488.4434517636
27.970664527449838,4251984.211333065
28.394462474835443,4449407.773225063
28.818260422221044,4652849.482570698
29.24205836960665,4862399.692812909
29.665856316992254,5078148.757394641
30.089654264377856,5300187.029758834
30.51345221176346,5528604.863348428
30.937250159149063,5763492.611606365
31.361048106534668,6004940.627975589
31.784846053920273,6253039.265899038
32.20864400130588,6507878.878819656
32.63244194869148,6769549.820180382
33.05623989607708,7038142.443424157
33.48003784346268,7313747.101993922
33.90383579084829,7596454.14933263
34.32763373823389,7886353.938883204
34.751431685619494,8183536.824088595
35.1752296330051,8488093.15839175
35.599027580390704,8800113.295235598
36.022825527776305,9119687.588063085
36.446623475161914,9446906.390317162
36.870421422547516,9781860.055440756
37.29421936993312,10124638.936876813
37.71801731731872,10475333.388068277
38.14181526470433,10834033.762458093
38.56561321208993,11200830.413489193
38.98941115947553,11575813.694604523
39.41320910686114,11959073.959247034
39.83700705424674,12350701.560859647
40.26080500163234,12750786.852885315
40.68460294901794,13159420.18876698
41.10840089640355,13576691.921947591
41.53219884378915,14002692.405870073
41.955996791174755,14437511.993977373
42.37979473856036,14881241.039712442
42.803592685945965,15333969.896518208
43.22739063333157,15795788.917837618
43.651188580717175,16266788.457113622
44.07498652810278,16747058.867789146
44.49878447548838,17236690.503307138
44.92258242287398,17735773.717110537
45.34638037025959,18244398.862642296
45.77017831764519,18762656.293345343
46.19397626503079,19290636.36266262
46.6177742124164,19828429.424037084
47.041572159802,20376125.83091166
47.4653701071876,20933815.936729286
47.88916805457321,21501590.094932925
48.31296600195881,22079538.658965494
48.736763949344414,22667751.98226995
49.160561896730016,23266320.41828922
49.584359844115625,23875334.32046628
50.008157791501226,24494884.042244032
50.43195573888683,25125059.937065426
50.855753686272436,25765952.358373426
51.27955163365804,26417651.659610946
51.70334958104364,27080248.19422093
52.12714752842925,27753832.315646347
52.55094547581485,28438494.377330106
52.97474342320045,29134324.732715163
53.39854137058605,29841413.73524446
53.82233931797166,30559851.73836095
54.24613726535726,31289729.095507536
54.669935212742864,32031136.160127196
55.09373316012847,32784163.285662867
55.517531107514074,33548900.825557474
55.941329054899676,34325439.13325397
56.36512700228528,35113868.562195286
56.788924949670886,35914279.46582439
57.21272289705649,36726762.19758419
57.63652084444209,37551407.11091764
58.0603187918277,38388304.55926769
58.4841167392133,39237544.89607727
58.9079146865989,40099218.47478934
59.33171263398451,40973415.64884682
59.75551058137011,41860226.771692656
60.17930852875571,42759742.19676979
60.60310647614131,43672052.27752116
61.02690442352692,44597247.36738973
61.45070237091252,45535417.81981842
61.874500318298125,46486653.98825017
62.298298265683734,47451046.226127945
62.722096213069335,48428684.88689465
63.14589416045494,49419660.32399324
63.569692107840545,50424062.89086668
63.99349005522615,51441982.94095789
64.41728800261176,52473510.827709824
64.84108594999735,53518736.90456538
65.26488389738296,54577751.524967566
65.68868184476857,55650645.04235929
66.11247979215416,56737507.81018346
66.53627773953977,57838430.1818831
66.96007568692536,58953502.51090104
67.38387363431097,60082815.15068034
67.80767158169658,61226458.454663895
68.23146952908218,62384522.77629458
68.65526747646778,63557098.46901543
69.0790654238534,64744275.88626936
69.50286337123899,65946145.38149926
69.9266613186246,67162797.30814816
70.3504592660102,68394322.01965895
70.7742572133958,69640809.86947453
71.19805516078141,70902351.21103792
71.62185310816702,72179036.39779206
72.04565105555261,73470955.78317979
72.46944900293822,74778199.72064416
72.89324695032383,76100858.56362809
